Keyword,Intent,Volume,Keyword Difficulty
chess puzzles,"Informational, Commercial",22200,48
chess puzzle,"Informational, Commercial",4400,61
chess puzzles for beginners,Informational,590,27
chess puzzle of the day,Informational,480,29
daily chess puzzles,Informational,480,34
hard chess puzzles,Informational,320,12
easy chess puzzles,Informational,210,22
li chess puzzles,"Navigational, Transactional",210,19
intermediate chess puzzles,"Informational, Commercial",140,6
solve chess puzzles,"Informational, Commercial",140,24
basic chess puzzles,Informational,110,24
beginners chess puzzles,Informational,90,25
chess hardest puzzle,"Informational, Transactional",90,19
chess puzzles website,Commercial,90,29
chess puzzles beginner,"Informational, Transactional",70,20
daily puzzle chess,Informational,70,23
beginner chess puzzles,Informational,50,27
chess puzzle online,Informational,50,
online chess puzzles free,,50,
